序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
1,920169,七丰精工,30.000001907348633,46.15,46.15,884377280,2344567818.45,3728924153.5,41.095252990722656,0.0,是,2.3341081142425537,1/1,60日新高,通用设备
2,920227,美登科技,29.994386672973633,115.76,115.76,626794928,2036473072.0,4507868040.0,32.66335678100586,0.0,是,1.844037413597107,1/1,60日新高,互联网服
3,920021,流金科技,29.980844497680664,13.57,13.57,1558165152,3159674543.38,4193129782.88,54.367286682128906,0.0,是,2.373563289642334,3/2,60日新高且近期多次涨停,文化传媒
4,300427,红相股份,20.03046417236328,15.76,15.76,3497129808,7927357034.88,8014279991.04,46.40566635131836,0.0,是,1.7965342998504639,1/1,60日新高,电网设备
5,300773,拉卡拉,20.014963150024414,32.08,32.08,6264888832,23564615892.16,24915411403.52,27.636831283569336,0.0,是,2.226475477218628,1/1,60日新高,软件开发
6,300758,七彩化学,20.014244079589844,16.85,16.85,832340928,6172171091.750001,6841750275.200001,14.307772636413574,0.0,是,3.0285146236419678,1/1,60日新高,化学制品
7,688292,浩瀚深度,20.01289176940918,37.24,37.24,852734000,3754948227.52,5896908120.320001,24.26425552368164,0.0,是,2.4619436264038086,1/1,60日新高,互联网服
8,301321,翰博高新,20.010421752929688,23.03,23.03,372202992,3398447306.03,4293598050.0,11.522923469543457,0.0,是,2.1498024463653564,1/1,60日新高,光学光电
9,300792,壹网壹创,20.009737014770508,49.3,49.3,2416407312,10477910078.9,11681276589.0,24.850954055786133,0.0,否,1.8575851917266846,3/2,近期多次涨停,互联网服
10,300520,科大国创,20.009105682373047,52.72,52.72,5331952128,14656604587.76,15395875585.279999,38.37975311279297,0.0,是,1.8471931219100952,3/2,60日新高且近期多次涨停,软件开发
11,301378,通达海,20.004396438598633,54.59,54.59,806344304,2506474247.29,5273394000.0,34.39146423339844,0.0,是,2.4855480194091797,3/2,60日新高且近期多次涨停,软件开发
12,301159,三维天地,20.003883361816406,61.79,61.79,1145903488,3275795305.25,4779456500.0,36.78753662109375,0.0,是,2.359671115875244,3/2,60日新高且近期多次涨停,软件开发
