序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
29,603171,税友股份,4.899577617645264,82.0,85.99,1453257888,33282980000.0,33320290656.0,4.303025722503662,0.6134968996047974,094918,6,3/2,7.81629753112793,互联网服
30,600588,用友网络,7.865169048309326,17.28,17.62,7059989248,59045715227.520004,59045715210.240005,11.839984893798828,0.0,100218,13,2/1,6.866416931152344,软件开发
31,688137,近岸蛋白,15.42936897277832,49.6,51.56,290581264,1620701774.4,3480701774.4,17.782533645629883,0.0,100249,7,0/0,21.061206817626953,生物制品
32,002945,华林证券,3.614457607269287,18.92,20.09,2084743712,51084000000.00001,51084000000.00001,3.995159387588501,-0.2109704613685608,100430,1,0/0,10.350492477416992,证券
33,300785,值得买,11.606002807617188,69.91,75.17,3851434880,8552389864.349999,13901970038.13,43.64553451538086,0.0,100603,2,2/1,14.671136856079102,互联网服
34,688365,光云科技,16.421567916870117,28.5,29.38,2216738192,12136003494.0,12136003608.0,18.354244232177734,0.0,100828,5,2/1,16.625816345214844,互联网服
35,600816,建元信托,4.452054977416992,3.05,3.21,871074640,16680870652.949999,30025567180.8,5.126007556915283,0.0,101134,1,0/0,10.958904266357422,多元金融
36,920575,康乐卫士,29.902490615844727,11.99,11.99,401570096,2252185773.2,3368470600.0,18.696775436401367,0.0,101151,13,0/0,29.794151306152344,生物制品
37,000739,普洛药业,9.476922988891602,17.79,17.88,746220000,20600969524.95,20608711359.36,3.6743550300598145,0.11254923790693283,101212,3,0/0,9.907692909240723,化学制药
38,301408,华人健康,7.82608699798584,24.8,27.6,1515963600,3699448314.4,9920248000.0,40.60981369018555,0.0,102309,1,0/0,20.0,医药商业
39,300987,川网传媒,10.392609596252441,23.9,25.98,1269771952,4143495199.9999995,4143495199.9999995,30.10839080810547,0.0,102521,2,2/1,16.166282653808594,文化传媒
40,301017,漱玉平民,10.147392272949219,19.43,21.17,1028693008,4728498634.16,7876158789.599999,22.36042022705078,0.0,102836,1,0/0,23.922903060913086,医药商业
41,600338,西藏珠峰,6.772009372711182,18.92,19.49,2814804928,17296856378.56,17296856529.920002,16.42143440246582,0.0,105155,1,0/0,11.17381477355957,有色金属
42,002278,神开股份,5.6094183921813965,15.25,15.88,1947088992,5093449080.25,5948078280.0,38.918060302734375,0.06561680138111115,105457,1,0/0,12.673130989074707,专用设备
43,603319,美湖股份,8.30221176147461,37.7,38.29,2093370512,12785942860.6,12785942936.000002,16.469749450683594,0.026532236486673355,110204,7,0/0,10.514220237731934,汽车零部
44,301517,陕西华达,9.864029884338379,88.88,97.08,2661817184,8724201270.4,13441978334.4,31.25282859802246,0.0,110236,2,0/0,25.686031341552734,电子元件
45,002716,湖南白银,7.637231826782227,9.02,9.22,3963821136,20970185154.6,25464259532.8,18.990842819213867,0.11098779737949371,110833,2,0/0,10.143198013305664,贵金属
46,301117,佳缘科技,7.62880277633667,70.4,78.49,2084178016,5593272044.8,9093470848.0,39.020267486572266,0.0,110924,2,0/0,31.32548713684082,软件开发
47,300315,掌趣科技,14.907873153686523,6.86,7.16,5867629568,17719569727.02,18574211514.88,34.437435150146484,0.0,112554,1,0/0,24.455612182617188,游戏
48,688625,呈和科技,12.288288116455078,62.32,66.6,671501168,11736161666.32,11736161666.32,5.7892937660217285,0.0,112834,1,0/0,21.765766143798828,化学制品
49,600415,小商品城,5.921450138092041,17.53,18.21,4781203968,96126793231.78,96126792215.04001,4.951183795928955,0.05707762390375137,130739,1,0/0,8.519638061523438,商业百货
50,688639,华恒生物,13.790255546569824,41.34,43.6,1720817088,10339782748.62,10339782748.62,16.77667808532715,0.0,130930,7,0/0,19.79080581665039,化学制品
51,002677,浙江美大,6.9546895027160645,10.15,10.44,738584704,5428937797.85,6557424227.2,13.692438125610352,-0.09842519462108612,131418,7,0/0,10.958904266357422,家电行业
52,002866,传艺科技,1.5207130908966064,19.36,20.98,602751392,3509319556.16,5605150876.16,16.970813751220703,0.0,131642,1,0/0,11.955951690673828,消费电子
53,002703,浙江世宝,6.197398662567139,27.76,28.75,4393949952,16268694534.240002,22836274979.84,28.07027244567871,0.0,133651,14,0/0,16.641162872314453,汽车零部
54,601179,中国西电,8.867427825927734,12.4,12.53,6735854592,63560941164.8,63560941363.200005,11.158416748046875,0.0,135002,5,0/0,15.188762664794922,电网设备
55,600192,长城电工,2.5471699237823486,10.87,11.66,724852064,4801800760.0,4801800760.0,15.086627006530762,0.09208103269338608,135207,2,0/0,14.433961868286133,电网设备
56,001896,豫能控股,6.156405925750732,6.38,6.61,1003268656,9734484885.4,9734484872.64,10.503186225891113,0.0,135215,1,2/1,10.8153076171875,电力行业
57,688277,天智航-U,16.6225528717041,22.03,22.67,1094414640,10045504509.02,10045504464.960001,11.461366653442383,0.0,135613,1,0/0,21.12228775024414,医疗器械
58,300444,双杰电气,17.021276473999023,12.65,12.97,2539655248,7861300742.35,10102607363.2,34.31351089477539,0.0,135827,3,0/0,24.699352264404297,电网设备
59,002922,伊戈尔,8.15864086151123,38.18,38.83,1777335616,14271901816.9,16158009967.039999,13.047015190124512,-0.026184864342212677,135830,1,0/0,13.371105194091797,电子元件
60,002882,金龙羽,8.53801155090332,37.12,37.62,1262091824,9158883008.0,16069247999.999998,14.099309921264648,0.0,140348,1,0/0,8.53801155090332,电网设备
61,600550,保变电气,9.356725692749023,13.09,13.17,3873131952,24105607803.2,24105607803.2,16.88521957397461,-0.07633587718009949,140513,1,0/0,14.870509147644043,电网设备
62,601929,吉视传媒,7.619048118591309,4.52,4.62,3793459024,15773842519.359999,15773842555.519999,25.381332397460938,-0.22075055539608002,143214,1,0/0,15.476190567016602,文化传媒
