序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,000931,中 关 村,4.563492298126221,5.27,5.54,369701568,3957925633.64,3968979163.5199995,9.095610618591309,-0.18939393758773804,092500,1,0/0,6.150793552398682,化学制药
2,001225,和泰机电,-3.631871461868286,78.01,89.05,292010320,1641234681.73,5138269068.0,16.853435516357422,0.24415317177772522,092500,1,2/1,13.872760772705078,通用设备
3,002512,达华智能,-1.9685039520263672,7.47,8.38,3303781808,8175554811.54,8310349900.8,38.43071365356445,0.5383579730987549,092500,1,3/2,12.598424911499023,计算机设
4,002969,嘉美包装,5.850421905517578,17.55,18.24,2566886880,17532464777.100002,17640076989.600002,14.378171920776367,-1.1824324131011963,092500,11,18/13,10.19300365447998,包装材料
5,300244,迪安诊断,11.895625114440918,29.16,31.27,4645908736,14622546218.76,18224400470.4,30.232168197631836,0.0,092500,4,3/2,10.706062316894531,医疗服务
6,300816,艾可蓝,15.019169807434082,69.0,71.99,660044704,3910131399.0,5520000000.0,16.231698989868164,0.0,092500,10,2/1,5.31755256652832,汽车零部
7,301171,易点天下,10.722758293151855,70.01,75.88,12177083136,26666035459.510002,33036732139.04,43.67585754394531,0.0,092500,3,3/2,9.283568382263184,互联网服
8,920021,流金科技,9.779179573059082,10.44,12.36,1623085872,2430877098.96,3225959832.96,59.13924789428711,-0.09569378197193146,092500,3,2/1,24.290220260620117,文化传媒
9,920207,众诚科技,1.8509615659713745,42.37,54.08,1268250208,2384561059.16,3906302150.0,45.772274017333984,0.0,092500,2,3/2,31.44230842590332,软件开发
10,601900,南方传媒,1.5925679206848145,15.31,16.58,1380565152,13502962139.140001,13502962169.76,9.766711235046387,0.0,092502,1,2/1,8.493696212768555,文化传媒
11,600498,烽火通信,3.5030360221862793,44.32,47.1,13915552512,56358262929.92,60193983068.16,24.217863082885742,0.18083183467388153,092503,5,2/1,17.468473434448242,通信设备
12,600986,浙文互联,4.8417134284973145,11.26,11.81,2878748192,16747831938.119999,16747831960.64,16.658649444580078,-0.1773049533367157,092503,3,3/2,7.07634973526001,文化传媒
13,688258,卓易信息,13.13315200805664,149.2,158.26,2427347392,18074421760.399998,18074421760.399998,13.412421226501465,0.0,092503,1,2/1,14.604185104370117,互联网服
14,600880,博瑞传播,-1.9662922620773315,6.98,7.83,2236482528,7629350621.5,7631458030.080001,27.62987518310547,-0.5698005557060242,092504,1,3/2,11.938201904296875,教育
15,603496,恒为科技,1.21160888671875,35.92,39.04,3542887184,11501916008.560001,11501916188.16,29.772802352905273,-0.49861496686935425,092504,1,3/2,11.947027206420898,互联网服
16,301378,通达海,19.99472427368164,45.49,45.49,611566624,2088652015.19,4394334000.0,29.59739875793457,0.0,093006,7,2/1,9.99736213684082,软件开发
17,600633,浙数文化,5.479452133178711,16.17,16.86,3135634048,20504764212.24,20504764341.600002,14.890535354614258,0.0,093019,5,2/1,4.892367839813232,游戏
18,301097,天益医疗,14.124073028564453,58.5,61.51,202833417,1693070028.0,3448421028.0,12.279512405395508,0.0,093030,1,0/0,15.528676986694336,医疗器械
19,603039,泛微网络,3.8613080978393555,65.9,69.8,837866080,17173742510.7,17173742510.7,4.7313971519470215,-0.060661207884550095,093102,2,0/0,7.5334906578063965,软件开发
20,002264,新 华 都,-2.346040964126587,9.99,11.25,1791149824,6541280271.900001,7190914847.04,25.90561866760254,0.0,093106,2,0/0,12.609970092773438,互联网服
21,600637,东方明珠,5.051194667816162,15.39,16.12,8987115264,51739638183.630005,51739638291.36,17.654489517211914,1.383399248123169,093107,1,5/4,13.924914360046387,文化传媒
22,600828,茂业商业,4.551365375518799,8.04,8.46,1304611152,13920135855.239998,13925139653.759998,9.052109718322754,-0.24813894927501678,093112,12,3/2,9.882965087890625,商业百货
23,603090,宏盛股份,4.593745231628418,69.9,73.51,908034368,6990000000.000001,6990000000.000001,12.583100318908691,-0.08576329797506332,093159,9,2/1,6.7484660148620605,通用设备
24,600367,红星发展,4.178119659423828,18.95,20.01,1272516960,6101391798.9,6464430479.2,20.287412643432617,0.0,093640,2,0/0,9.070918083190918,化学原料
25,600714,金瑞矿业,3.115264892578125,13.24,14.12,446680976,3815453854.52,3815453841.28,11.320016860961914,-0.07547169923782349,094101,1,0/0,7.554516792297363,化学原料
26,603918,金桥信息,4.512448310852051,20.15,21.21,1954240368,7356916648.9,7362846753.599999,25.857872009277344,-0.24752475321292877,094105,1,0/0,8.869295120239258,互联网服
27,002203,海亮股份,5.898681640625,15.26,15.85,1673422016,33757275764.94,34972185572.8,4.952915191650391,0.0,094500,1,0/0,8.952116012573242,有色金属
28,301315,威士顿,10.393604278564453,71.8,78.05,1475689920,2656600000.0,6318400000.0,53.66650390625,0.0,094706,6,0/0,20.0645751953125,软件开发
