序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,002379,宏创控股,2.4187724590301514,28.37,30.47,960437792,32238923372.61,32238923571.2,3.0008578300476074,0.0,092500,1,0/0,12.274368286132812,有色金属
2,002431,棕榈股份,4.7272725105285645,2.88,3.03,616005952,5190925723.2,5190925731.84,11.993623733520508,0.0,092500,1,2/1,9.818181991577148,工程建设
3,002774,快意电梯,-5.083611965179443,14.19,16.45,1020970128,3998343757.65,4777601357.76,26.155986785888672,0.0,092500,1,6/5,20.0,专用设备
4,603057,紫燕食品,0.6605504751205444,27.43,29.98,721267344,11301160000.0,11342681997.92,6.137420177459717,-0.18195050954818726,093326,7,0/0,15.339448928833008,食品饮料
5,600678,四川金顶,7.097681045532227,15.24,15.65,1858597728,5318607600.0,5318607600.0,35.03626251220703,0.06565988063812256,093727,1,0/0,10.892480850219727,水泥建材
6,600399,抚顺特钢,8.782742500305176,7.06,7.14,1699724944,13923026000.0,13923026000.0,12.252456665039062,0.0,093912,4,0/0,6.779661178588867,钢铁行业
7,001219,青岛食品,4.356705188751221,15.33,16.16,351720304,2914571348.43,2989100887.5,11.836502075195312,0.06527414917945862,094048,1,0/0,10.14295482635498,食品饮料
8,002228,合兴包装,5.473684310913086,5.01,5.23,1051449904,6058701762.09,6079062016.32,17.26533317565918,0.0,094212,1,0/0,9.473684310913086,包装材料
9,605162,新中港,9.580193519592285,10.18,10.22,408534672,4077934960.3599997,4077935021.44,10.206743240356445,-0.19607844948768616,094816,1,0/0,11.087190628051758,公用事业
10,300118,东方日升,14.840989112854004,19.5,20.38,5190212864,18073108560.0,22230270192.0,28.53680419921875,0.0,095215,1,0/0,14.01648998260498,光伏设备
11,002250,联化科技,7.734469890594482,17.69,18.06,1334548944,15832121123.640001,15918757191.04,8.421579360961914,-0.16930022835731506,095718,2,0/0,7.369062423706055,农药兽药
12,002191,劲嘉股份,8.837209701538086,4.68,4.73,490099024,6741612708.48,6794324933.759999,7.381192207336426,0.0,100603,1,0/0,9.069767951965332,包装材料
13,600589,大位科技,6.501547813415527,10.32,10.66,5384372480,15257809264.800001,15321793244.16,35.324974060058594,0.0,101505,6,2/1,9.287925720214844,互联网服
14,300269,联建光电,15.121952056884766,9.44,9.84,1514789104,4962415452.32,5183634498.559999,31.410032272338867,0.0,102400,1,0/0,20.609756469726562,互联网服
15,605003,众望布艺,7.433102130889893,32.52,33.3,194020962,3577200000.0000005,3577200000.0000005,5.49931001663208,-0.48959609866142273,103507,1,0/0,11.661711692810059,纺织服装
16,605090,九丰能源,9.21757698059082,50.95,51.32,2138411600,35799679090.1,35870463823.200005,6.087517738342285,-0.1763322800397873,103555,2,0/0,10.010717391967773,燃气
17,002315,焦点科技,9.442462921142578,58.3,58.6,2076842608,11794979716.3,18494851337.6,17.967178344726562,0.0,103633,2,0/0,7.321193695068359,互联网服
18,001400,江顺科技,7.139713287353516,121.7,124.95,783289120,1825500000.0,7302000000.0,44.01937484741211,0.0,110451,2,5/4,13.178977012634277,通用设备
19,601872,招商轮船,8.850457191467285,10.7,10.81,2028152208,86397561971.4,86397561907.2,2.3953585624694824,0.0,110845,3,0/0,9.664292335510254,航运港口
20,600266,城建发展,4.838709354400635,7.15,7.5,3091891744,14841566075.050001,14841566053.6,21.084732055664062,0.0,112235,1,7/4,10.26392936706543,房地产开
21,002488,金固股份,8.828828811645508,12.08,12.21,1565461312,11114614707.92,12024903989.76,14.279221534729004,-0.08271298557519913,112257,7,0/0,9.009008407592773,汽车零部
22,601099,太平洋,7.838479995727539,4.54,4.63,4736316928,30946076319.8,30946076528.64,15.36416244506836,0.44247788190841675,112442,1,0/0,10.451306343078613,证券
23,002153,石基信息,7.756463527679443,12.92,13.19,1672197312,20668948347.68,35261184412.8,8.20517635345459,0.0,130006,2,0/0,9.841534614562988,软件开发
24,605178,时空科技,8.432432174682617,60.18,61.05,916091264,5962634400.0,5962634400.0,15.604704856872559,0.19980019330978394,130643,5,0/0,8.108107566833496,装修装饰
25,603108,润达医疗,8.528428077697754,19.47,19.73,2123100096,11753625281.97,11753625301.439999,18.148832321166992,0.0,130833,1,2/1,5.741360187530518,医疗服务
26,002098,浔兴股份,9.316154479980469,11.03,11.1,545753040,3948615912.5,3948740000.0,14.101158142089844,-0.5410279631614685,130845,10,0/0,11.000990867614746,纺织服装
27,600666,奥瑞德,8.069164276123047,3.75,3.82,998470832,9074073506.25,10317927720.0,11.11059856414795,0.0,131003,1,0/0,8.645532608032227,光学光电
28,603011,合锻智能,8.263598442077637,31.05,31.55,3674863744,15351568268.85,15351568113.6,25.04588508605957,-0.03219575062394142,132135,6,0/0,13.214783668518066,专用设备
29,000987,越秀资本,7.008884906768799,10.84,11.14,3464724384,54356368886.159996,54385716776.96,6.397909641265869,0.09233610332012177,132857,6,2/1,7.305034160614014,多元金融
30,002054,德美化工,6.8123393058776855,8.31,8.56,490323520,3194161809.3900003,4006379439.36,15.5541353225708,-0.12019231170415878,134006,2,0/0,11.18251895904541,化学制品
31,601228,广州港,8.206686973571777,3.56,3.62,571067536,26858531609.56,26858531983.36,2.1747841835021973,-0.28011205792427063,134939,1,0/0,10.030394554138184,航运港口
