序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
1,920207,众诚科技,30.000001907348633,41.6,41.6,435813248,2341225868.8,3835312000.0,19.636268615722656,0.0,是,1.3337757587432861,2/2,60日新高且近期多次涨停,软件开发
2,920564,天润科技,29.996278762817383,34.93,34.93,441326544,1414390729.64,3112389481.53,35.01814270019531,0.0,是,2.1009151935577393,1/1,60日新高,软件开发
3,920116,星图测控,29.991012573242188,130.16,130.16,1234807392,5281994324.8,20796314000.0,24.907630920410156,0.0,是,1.377561092376709,1/1,60日新高,航天航空
4,920090,同辉信息,29.969879150390625,8.63,8.63,433582912,1168048062.0,1720248501.9800003,39.82994842529297,0.0,是,7.792325973510742,1/1,60日新高,软件开发
5,920021,流金科技,29.918033599853516,9.51,9.51,566346080,2214333449.34,2938589847.84,27.195363998413086,0.0,是,3.5321617126464844,1/1,60日新高,文化传媒
6,920576,天力复合,24.96354866027832,119.99,124.82,1390392368,12854247203.46,13072910500.0,11.964621543884277,0.0,是,1.1009560823440552,0/0,60日新高,通用设备
7,920640,富士达,21.7391300201416,56.0,59.8,1365969552,10113725160.0,10512768000.0,14.30185317993164,0.2147458791732788,是,1.8437360525131226,0/0,60日新高,通信设备
8,920493,并行科技,21.07478141784668,187.0,200.78,1505221424,7722529276.0,11165658735.0,20.55521583557129,0.06956707686185837,是,2.6161346435546875,0/0,60日新高,软件开发
9,920227,美登科技,20.738462448120117,78.48,84.5,354754288,1380635856.0,3056128920.0,26.725128173828125,0.165922150015831,是,2.7337067127227783,0/0,60日新高,互联网服
10,300071,福石控股,20.02688217163086,8.93,8.93,2499098096,8441983233.38,8607487120.48,31.969532012939453,0.0,是,1.620540738105774,1/1,60日新高,文化传媒
11,300058,蓝色光标,20.023283004760742,20.62,20.62,23589175040,71758213609.96,74030361803.84,34.96174621582031,0.0,是,1.0597702264785767,1/1,60日新高,文化传媒
12,300229,拓尔思,20.018157958984375,26.44,26.44,4454599424,23082919360.52,23098537336.32,20.272666931152344,0.0,是,3.8530688285827637,1/1,60日新高,软件开发
13,300435,中泰股份,20.01519203186035,31.6,31.6,1462306976,11654542308.0,12188531052.800001,13.277868270874023,0.0,是,1.7343053817749023,1/1,60日新高,燃气
14,688118,普元信息,20.013946533203125,34.42,34.42,521537104,3211961261.46,3211961261.46,16.762279510498047,0.0,是,3.889430284500122,1/1,60日新高,软件开发
15,300045,华力创通,20.012828826904297,37.42,37.42,5658623488,19320439045.920002,24797307181.440002,31.3583984375,0.0,是,1.3024173974990845,1/1,60日新高,计算机设
16,688387,信科移动-U,20.01262664794922,19.01,19.01,1860825296,38338934572.0,64990437500.00001,4.9211225509643555,0.0,是,0.5774040818214417,2/2,60日新高且近期多次涨停,通信设备
17,300987,川网传媒,20.01108741760254,21.65,21.65,654651344,3753417199.9999995,3753417199.9999995,18.117578506469727,0.0,是,9.059651374816895,1/1,60日新高,文化传媒
18,300170,汉得信息,20.00816535949707,29.39,29.39,7387782656,28717186750.510002,30043257878.24,27.656841278076172,0.0,是,1.2933526039123535,1/1,60日新高,互联网服
19,688232,新点软件,20.007478713989258,32.09,32.09,674015696,10332401577.750002,10332401353.12,6.833275318145752,0.0,是,8.893877983093262,1/1,60日新高,软件开发
